lat_max,lon_max,lat_min,lon_min,route_id
46.83727,3.511524,46.549225,3.287754,C03B11
46.55874,2.609692,46.33747,2.248139,C03B12
46.56972,3.403603,46.312576,3.287754,C03B13
46.335938,2.850911,46.288963,2.739418,C03B14
45.89745,3.694968,45.77057,3.082716,C63LR01
45.864475,3.761953,45.38349,3.082716,C63LR02
45.971127,3.4993,45.77057,3.082716,C63LR06
45.76185,3.544227,45.702705,3.42604,C63LR07
45.820667,3.773557,45.785133,3.673474,C63LR11
45.648476,3.761953,45.540688,3.704496,C63LR13
45.592194,3.806581,45.540688,3.735122,C63LR15
45.77057,3.264152,45.332184,3.042155,C63LR20
45.77057,3.085067,45.667053,2.982036,C63LR21
45.794342,3.34304,45.72353,3.082716,C63LR23
45.798954,3.302412,45.74866,3.113382,C63LR25
46.1496,3.430052,45.8641,3.302318,C63LR28
45.80148,3.157059,45.654396,3.082716,C63LR33
45.80148,3.245687,45.642265,3.082716,C63LR40
45.80148,3.186905,45.633564,3.082716,C63LR42
45.780045,3.172043,45.589256,3.082716,C63LR43
45.55386,3.248547,45.509705,2.933792,C63LR44
45.59709,2.816659,45.542133,2.734097,C63LR45
45.418797,2.725436,45.381744,2.502438,C63LR50
45.77057,3.082716,45.648544,2.561712,C63LR52
45.871082,3.091246,45.77057,2.467838,C63LR53
46.1336,3.517201,45.960575,3.430027,C63LR55
46.00416,3.548542,45.84696,3.444576,C63LR56
45.993427,3.113789,45.77057,3.082716,C63LR60
46.180424,3.119732,45.77057,2.807851,C63LR61
45.898052,3.117336,45.77057,3.039522,C63LR64
45.96996,3.260819,45.77057,3.082716,C63LR70
45.924423,3.117336,45.77057,3.056022,C63LR73
45.77844,3.148704,45.50255,2.864818,C63LR74
45.890053,3.129093,45.84118,3.109884,C63LR75
45.604626,4.0776,45.52821,3.735122,C63LR76
45.869797,3.676061,45.785133,3.547945,C63LR83
45.78623,3.673474,45.757572,3.544227,C63LR84
45.77274,2.9877,45.77081,2.963339,C63LRPDDNav1
45.043156,4.407364,44.522697,3.501981,C43Nav1
45.050095,3.999121,44.933556,3.892322,C43Nav10
45.41308,3.564326,44.95991,3.318838,C43Nav11
45.443092,4.399528,45.043156,3.892322,C43Nav12
45.414955,4.393742,45.241726,4.235721,C43Nav13
45.050095,4.057678,45.00986,3.892322,C43Nav14
45.443092,4.399528,45.010136,4.289461,C43Nav15
45.231987,4.401326,45.145187,4.122006,C43Nav16
45.414955,4.393742,45.043156,3.892322,C43Nav17
45.043156,3.892322,44.840897,3.781935,C43Nav2
45.329845,3.845925,45.27772,3.378322,C43Nav3
45.403202,3.385639,45.290745,3.318524,C43Nav4
45.043884,3.892322,44.954865,3.549129,C43Nav5
45.414955,4.393742,45.261066,4.10203,C43Nav8
45.41398,3.404424,45.26422,3.240207,C43Nav9
45.704716,5.915096,45.64069,5.859543,01
